id,area,perimetro,centroide_x,centroide_y,diametro_equivalente,excentricidad,orientacion,solidez,relacion_aspecto,bbox_x1,bbox_y1,bbox_x2,bbox_y2
1,635.0,107.9350288425444,1052.5338582677166,8.240944881889764,28.43425945768288,0.8795244617902566,-1.5127236210229131,0.9577677224736049,2.2777777777777777,1032,0,1073,18
2,488.0,97.55634918610403,1047.313524590164,23.735655737704917,24.926710529686012,0.9280693121096616,-1.5512237019518158,0.9549902152641878,2.857142857142857,1028,17,1068,31
3,627.0,108.38477631085023,926.3476874003189,12.496012759170654,28.254578293596012,0.5686683430881155,-1.2272468818360882,0.8868458274398868,1.1481481481481481,910,0,941,27
4,541.0,98.04163056034261,967.8317929759704,941.4768946395563,26.245429958408437,0.6382183563309832,0.571248194222186,0.8986710963455149,0.8,956,928,980,958
5,206.0,61.89949493661166,1073.2621359223301,44.37864077669903,16.195287778099022,0.9165232374605758,1.5513439107603053,0.9279279279279279,2.5,1062,40,1087,50
6,522.0,95.45584412271572,979.272030651341,10.931034482758621,25.780439141949365,0.658305376933961,-0.8561442514102651,0.9354838709677419,1.2083333333333333,966,0,995,24
7,205.0,61.798989873223334,999.5121951219512,32.24390243902439,16.15593100600236,0.8217333225340273,1.2389454827100361,0.8913043478260869,1.4666666666666666,988,27,1010,42
8,252.0,68.97056274847714,729.1269841269841,945.8095238095239,17.91246396432554,0.7198048536870053,-0.5902188062327866,0.84,0.9047619047619048,720,936,739,957
9,301.0,75.11269837220809,698.1794019933554,70.85382059800665,19.576646877473273,0.31684958893621307,-1.541671185640536,0.8985074626865671,1.1,686,61,708,81
10,170.0,51.55634918610404,120.2,131.3470588235294,14.712264360219255,0.7074106211438438,0.9107845499784992,0.9090909090909091,1.2142857142857142,112,125,129,139
11,282.0,74.56244584051393,140.36879432624113,163.03191489361703,18.948708441878455,0.8334170686959063,0.8783084570878841,0.8703703703703703,1.1363636363636365,130,152,155,174
12,236.0,64.72792206135786,1290.3135593220338,966.3050847457627,17.334489682638438,0.7314787446861621,0.7444447265793691,0.8973384030418251,1.0588235294117647,1282,958,1300,975
13,251.0,67.89949493661166,442.39442231075697,964.6254980079681,17.876888032555495,0.7865953006184649,-0.17746766461791558,0.9094202898550725,0.7142857142857143,435,954,450,975
14,150.0,48.14213562373095,710.8666666666667,98.11333333333333,13.81976597885342,0.6354697515291192,-1.2088759620318779,0.9036144578313253,1.2307692307692308,704,92,720,105
15,203.0,58.62741699796952,127.36453201970443,147.06896551724137,16.07692842495848,0.7801291999411418,0.3935236123252535,0.9022222222222223,0.8947368421052632,120,138,137,157
16,221.0,64.48528137423857,25.23076923076923,656.3393665158371,16.774562271083887,0.8593121441243247,1.566680817859417,0.8875502008032129,1.6923076923076923,14,651,36,664
17,160.0,54.520815280171306,519.90625,934.7375,14.27299292922217,0.7877675846244332,0.46891429090490006,0.8743169398907104,0.7777777777777778,514,925,528,943
18,161.0,53.10660171779821,521.8757763975156,948.7453416149068,14.317526556719258,0.6334512150539613,-0.5192256486650255,0.8846153846153846,0.8666666666666667,516,942,529,957
19,235.0,67.89949493661166,473.1914893617021,964.2425531914894,17.297725082009,0.8645105358647796,0.0049903123672936905,0.8935361216730038,0.52,467,950,480,975
20,236.0,65.4558441227157,58.436440677966104,935.4957627118644,17.334489682638438,0.8552186900780984,-0.9327667231324761,0.8939393939393939,1.105263157894737,48,926,69,945
21,128.0,44.970562748477136,47.0078125,946.765625,12.766152972845846,0.634216446748613,0.11883065208955791,0.9014084507042254,0.8666666666666667,42,940,55,955
22,149.0,48.384776310850235,1146.4697986577182,966.2818791946308,13.773623058786647,0.5016102942948582,-0.39297482841073034,0.8713450292397661,0.875,1140,959,1154,975
23,146.0,51.9350288425444,178.3082191780822,176.31506849315068,13.63425735166143,0.7260057196890529,0.9259400113780798,0.8342857142857143,1.2142857142857142,169,170,186,184
24,156.0,54.970562748477136,131.35897435897436,175.21153846153845,14.093451279891855,0.8101461062093339,0.14927249421385244,0.8432432432432433,0.631578947368421,126,165,138,184
25,108.0,40.27817459305202,1023.3055555555555,17.61111111111111,11.726460285670077,0.5456370351242505,-0.8531942323880496,0.907563025210084,1.1818181818181819,1017,13,1030,24
26,163.0,55.798989873223334,241.54601226993864,74.34355828220859,14.406180819073164,0.8161527620532693,1.0777456376334758,0.8489583333333334,1.3571428571428572,233,67,252,81
27,110.0,40.48528137423857,141.74545454545455,182.77272727272728,11.834540545406394,0.7310285775696367,0.6322383630835934,0.9090909090909091,0.8461538461538461,137,177,148,190
28,152.0,53.65685424949238,66.4342105263158,205.5921052631579,13.911592676604096,0.8403510067201637,0.08310190876787106,0.8685714285714285,0.5789473684210527,61,198,72,217
29,127.0,43.071067811865476,1026.5984251968505,6.070866141732283,12.716187407449045,0.7364331717646587,-0.46542126291134633,0.9338235294117647,0.9230769230769231,1021,0,1033,13
30,104.0,38.72792206135785,680.6634615384615,101.0,11.507254783503184,0.5847294400203894,0.8057360756148101,0.9122807017543859,1.0,675,96,687,108
31,114.0,46.89949493661166,189.4561403508772,175.0438596491228,12.047792665040703,0.6772211644488486,0.1976295712101432,0.8321167883211679,0.75,184,170,196,186
32,124.0,44.970562748477136,122.62096774193549,183.32258064516128,12.565098628628435,0.8453827163629603,0.6812670867615351,0.8920863309352518,0.8666666666666667,116,177,129,192
33,101.0,39.10660171779821,275.76237623762376,460.2178217821782,11.340070282773887,0.5142984952112476,1.0496958613751766,0.8938053097345132,1.1818181818181819,270,455,283,466
34,148.0,48.48528137423857,80.58108108108108,649.2027027027027,13.727325035155395,0.793813571007242,-1.3463469204348073,0.9079754601226994,1.3333333333333333,73,644,89,656
35,139.0,52.970562748477136,47.39568345323741,722.8920863309353,13.303394180365686,0.9099331158155245,1.3580999406475192,0.86875,1.8181818181818181,36,719,56,730
36,124.0,41.55634918610404,73.16129032258064,924.9274193548387,12.565098628628435,0.656412229245169,-1.1491292294759248,0.9185185185185185,1.1666666666666667,66,919,80,931
37,148.0,52.72792206135785,445.7972972972973,937.2162162162163,13.727325035155395,0.7572503890858431,-0.6962248343153008,0.8705882352941177,0.7647058823529411,440,929,453,946
38,112.0,41.69238815542512,960.9375,4.955357142857143,11.941642642883693,0.7011836289878185,-0.6275570505681926,0.9032258064516129,1.0833333333333333,955,0,968,12
